Bug	10A	11A	12A	13A	14A	15A	16A	17A	18A	19A	1A	20A	21A	22A	23A	24A	25A	26A	27A	28A	29A	2A	30A	31A	32A	33A	34A	35A	36A	37A	38A	39A	3A	40A	41A	42A	43A	44A	45A	46A	47A	48A	49A	4A	50A	51A	52A	53A	54A	55A	5A	6A	7A	8A	9A
FCMP-10A_15.80	0.998455	0.84745	0.596291	0.063626	0.905084	0.87094	0.037522	0.47637	0.385512	0.156472	0.848174	0.833063	0.929087	0.684977	0.849772	0.910353	0.840142	0.575382	0.009386	0.934005	0.782403	0.940685	0.88721	0.730815	0.899858	0.929664	0.513351	0.910598	0.761845	0.733807	0.575408	0.910577	0.713303	0.896227	0.887286	0.53256	0.855621	0.904739	0.850432	0.579379	0.91219	0.783073	0.892847	0.595923	0.923218	0.856794	0.831208	0.779456	0.730497	0.591856	0.652954	0.922616	0.85297	0.857712	0.914025
FCMP-10A_16.86	0.998003	0.129347	0.053026	0.034874	0.040151	0.039598	0.009888	0.023532	0.01432	0.022999	0.038862	0.029589	0.034156	0.037709	0.090912	0.044984	0.032303	0.026349	0.015907	0.043199	0.02785	0.141344	0.323643	0.029194	0.054829	0.258109	0.035521	0.038169	0.130247	0.319067	0.350293	0.148288	0.515334	0.198587	0.691526	0.001021	0.066651	0.187192	0.041701	0.060303	0.441236	0.057956	0.047247	0.044151	0.053759	0.043913	0.091303	0.073181	0.03832	0.018276	0.043517	0.080461	0.030518	0.037847	0.045393
FCMP-10A_22.30	0.99899	0.834442	0.572382	0.427201	0.94043	0.894975	0.801528	0.021785	0.877371	0.935342	0.796529	0.75045	0.84924	0.813258	0.896582	0.705582	0.451194	0.75899	0.003502	0.954737	0.951689	0.943403	0.935704	0.556539	0.924491	0.795272	0.872389	0.803765	0.054945	0.912031	0.955981	0.937903	0.711911	0.857734	0.440006	0.003204	0.84122	0.61334	0.91944	0.93153	0.94185	0.839097	0.917604	0.861425	0.963308	0.955723	0.839567	0.94215	0.845922	0.903229	0.859348	0.939947	0.944538	0.680663	0.869268
FCMP-10A_30b.36	0.99999	0.272434	0.006241	0.000736	0.462787	0.295668	0.006159	0.578322	0.00319	0.702902	0.006508	0.794212	0.003741	0.007517	0.84123	0.002908	0.121238	0.001488	0.002221	0.582567	0.718843	0.004153	0.00309	0.018399	0.003839	0.00189	0.005027	0.166233	0.003915	0.22437	0.247499	0.010345	0.001938	0.004657	0.000314	6.5e-05	0.015742	0.002622	0.002485	0.001959	0.005702	0.002571	0.00689	0.008845	0.00228	0.003809	0.004422	0.468304	0.809219	0.001022	0.004094	0.395698	0.003747	0.213018	0.057698
FCMP-10A_19.64	0.999852	0.138492	0.111593	0.020008	0.129706	0.087342	0.005904	0.024182	0.003508	0.020693	0.144956	0.019094	0.033321	0.259258	0.015629	0.222241	0.350821	0.018737	0.101977	0.016184	0.009767	0.2123	0.008169	0.008254	0.053937	0.66755	0.009303	0.027495	0.574953	0.021897	0.130673	0.054788	0.159697	0.067614	0.135762	0.000149	0.236233	0.013881	0.144658	0.009913	0.142006	0.024974	0.0648	0.013487	0.196769	0.296396	0.011966	0.034905	0.345367	0.089007	0.012929	0.322903	0.110108	0.008521	0.470346
FCMP-10A_19.73	0.998233	0.645304	0.037298	0.028504	0.103468	0.111138	0.003045	0.08991	0.003998	0.011474	0.25312	0.37984	0.037676	0.260369	0.564123	0.036183	0.074005	0.339843	0.240137	0.035401	0.005188	0.578169	0.037499	0.123787	0.276907	0.011833	0.083362	0.386781	0.244633	0.164743	0.774871	0.593051	0.292518	0.441297	0.665017	0.003482	0.558498	0.596855	0.243968	0.026367	0.083239	0.491773	0.056956	0.694034	0.271825	0.034196	0.427657	0.261035	0.386855	0.505611	0.625329	0.753406	0.088351	0.129974	0.693892
FCMP-11A_18.102	0.03485	0.998891	0.700448	0.041015	0.121886	0.091028	0.022985	0.030015	0.000218	0.000606	0.362105	0.578204	0.031912	0.284829	0.282681	0.009778	0.057193	0.019917	0.382451	0.391824	0.003455	0.070613	0.083137	0.284605	0.266388	0.075349	0.076279	0.515534	0.109269	0.106395	0.059408	0.187452	0.102772	0.132294	0.053677	0.000255	0.067301	0.165953	0.025814	0.089694	0.018184	0.03882	0.300312	0.001435	0.002739	0.050244	0.008698	0.218523	0.360458	0.002372	0.080823	0.07924	0.082382	0.000192	0.156204
FCMP-11A_16.37	0.090189	0.998444	0.842846	0.001831	0.042582	0.03279	0.002909	0.014159	0.00142	0.004131	0.775517	0.586646	0.486707	0.342372	0.493891	0.082247	0.1449	0.025246	0.004207	0.007848	0.001819	0.718925	0.343268	0.350142	0.440554	0.086552	0.33735	0.091474	0.087901	0.289232	0.152862	0.146923	0.325281	0.313933	0.029687	0.000174	0.319593	0.219829	0.250717	0.260385	0.428934	0.331269	0.652888	0.154411	0.01622	0.276912	0.584406	0.474826	0.524472	0.005751	0.261585	0.008924	0.002184	0.003176	0.53601
FCMP-11A_19.6	0.00462	0.999587	0.004981	0.003297	0.003589	0.002546	0.580508	0.002483	0.001065	0.001275	0.003555	0.002862	0.002511	0.003112	0.842234	0.003611	0.004358	0.0016	0.001283	0.054117	0.001696	0.002829	0.004644	0.00165	0.003375	0.002226	0.002027	0.002657	0.001781	0.002998	0.003432	0.004247	0.003468	0.002788	0.001506	0.000172	0.001852	0.002979	0.001821	0.002418	0.002345	0.002139	0.00292	0.002633	0.00264	0.001973	0.003842	0.00405	0.328601	0.001683	0.00246	0.004971	0.002369	0.002461	0.003251
FCMP-11A_16.103	0.024266	0.999842	0.035931	0.021549	0.016522	0.015329	0.010515	0.011671	0.008564	0.001459	0.022214	0.010852	0.010582	0.020567	0.022697	0.012141	0.013766	0.008868	0.011647	0.313659	0.004083	0.023887	0.021403	0.012038	0.017831	0.040799	0.01242	0.015101	0.020383	0.02842	0.029888	0.017451	0.021237	0.020968	0.013222	5.4e-05	0.023095	0.019789	0.024399	0.02129	0.018594	0.013207	0.017285	0.016034	0.018943	0.033822	0.018148	0.016949	0.017057	0.010801	0.016821	0.027493	0.021188	0.01083	0.015088
